Time (hrs),Zone Temp (C),Outside Temp (C),HVAC Power (W),Fabric Loss (W),Air Exchange Loss (W),Solar Gains (W),Internal Gains (W),Window State (0-1)
2.9167,14.9661,3.1812,149.8437,134.3819,6.0643,0.0000,0.0000,0.0000
2.9333,14.9676,3.1653,169.6744,135.6445,6.0811,0.0000,0.0000,0.0000
2.9500,14.9700,3.1495,187.5859,137.2800,6.0985,0.0000,0.0000,0.0000
2.9667,14.9732,3.1337,203.1727,139.2275,6.1163,0.0000,0.0000,0.0000
2.9833,14.9769,3.1178,216.1341,141.4209,6.1346,0.0000,0.0000,0.0000
3.0000,14.9810,3.1020,226.2756,143.7911,6.1530,0.0000,0.0000,0.0000
3.0167,14.9855,3.1095,233.5073,146.0646,6.1164,0.0000,0.0000,0.0000
3.0333,14.9900,3.1170,237.8162,148.3986,6.0797,0.0000,0.0000,0.0000
3.0500,14.9945,3.1245,239.2472,150.7107,6.0435,0.0000,0.0000,0.0000
3.0667,14.9989,3.1320,238.0157,152.9413,6.0073,0.0000,0.0000,0.0000
3.0833,15.0029,3.1395,234.3752,155.0374,5.9710,0.0000,0.0000,0.0000
3.1000,14.9943,3.1470,0.0000,151.7340,5.9287,0.0000,0.0000,0.0000
3.1167,14.9863,3.1545,9.1821,148.7318,5.8861,0.0000,0.0000,0.0000
3.1333,14.9794,3.1620,25.3321,146.1791,5.8442,0.0000,0.0000,0.0000
3.1500,14.9737,3.1695,44.6078,144.1333,5.8033,0.0000,0.0000,0.0000
3.1667,14.9692,3.1770,66.1657,142.6320,5.7632,0.0000,0.0000,0.0000
3.1833,14.9660,3.1845,89.1535,141.6929,5.7240,0.0000,0.0000,0.0000
3.2000,14.9641,3.1920,112.7380,141.3148,5.6858,0.0000,0.0000,0.0000
3.2167,14.9635,3.1995,136.1303,141.4791,5.6485,0.0000,0.0000,0.0000
3.2333,14.9641,3.2070,158.6079,142.1515,5.6120,0.0000,0.0000,0.0000
3.2500,14.9658,3.2145,179.5322,143.2845,5.5763,0.0000,0.0000,0.0000
3.2667,14.9684,3.2220,198.3634,144.8194,5.5414,0.0000,0.0000,0.0000
3.2833,14.9719,3.2295,214.6696,146.6895,5.5070,0.0000,0.0000,0.0000
3.3000,14.9759,3.2370,228.1326,148.8223,5.4732,0.0000,0.0000,0.0000
3.3167,14.9804,3.2445,238.5496,151.1424,5.4398,0.0000,0.0000,0.0000
3.3333,14.9851,3.2520,245.8307,153.5743,5.4068,0.0000,0.0000,0.0000
3.3500,14.9900,3.2595,249.9935,156.0276,5.3743,0.0000,0.0000,0.0000
3.3667,14.9947,3.2670,251.2070,158.4520,5.3417,0.0000,0.0000,0.0000
3.3833,14.9992,3.2745,249.6347,160.7848,5.3091,0.0000,0.0000,0.0000
3.4000,15.0034,3.2820,245.5492,162.9710,5.2765,0.0000,0.0000,0.0000
3.4167,14.9945,3.2895,0.0000,159.5090,5.2373,0.0000,0.0000,0.0000
3.4333,14.9862,3.2970,8.8127,156.3428,5.1986,0.0000,0.0000,0.0000
3.4500,14.9789,3.3045,25.3955,153.6391,5.1608,0.0000,0.0000,0.0000
3.4667,14.9729,3.3120,45.2776,151.4591,5.1238,0.0000,0.0000,0.0000
3.4833,14.9682,3.3195,67.5877,149.8430,5.0877,0.0000,0.0000,0.0000
3.5000,14.9648,3.3270,91.4434,148.8109,5.0525,0.0000,0.0000,0.0000
3.5167,14.9627,3.3345,115.9799,148.3630,5.0183,0.0000,0.0000,0.0000
3.5333,14.9620,3.3420,140.3763,148.4812,4.9850,0.0000,0.0000,0.0000
3.5500,14.9625,3.3495,163.8785,149.1313,4.9526,0.0000,0.0000,0.0000
3.5667,14.9642,3.3570,185.8179,150.2649,4.9209,0.0000,0.0000,0.0000
3.5833,14.9669,3.3645,205.6265,151.8222,4.8900,0.0000,0.0000,0.0000
3.6000,14.9704,3.3720,222.8470,153.7344,4.8597,0.0000,0.0000,0.0000
3.6167,14.9745,3.3795,237.1393,155.9417,4.8297,0.0000,0.0000,0.0000
3.6333,14.9792,3.3870,248.2346,158.3506,4.8004,0.0000,0.0000,0.0000
3.6500,14.9841,3.3945,256.0597,160.8819,4.7715,0.0000,0.0000,0.0000
3.6667,14.9892,3.4020,260.6256,163.4581,4.7429,0.0000,0.0000,0.0000
3.6833,14.9942,3.4095,262.0467,166.0061,4.7145,0.0000,0.0000,0.0000
3.7000,14.9990,3.4170,260.5293,168.4594,4.6863,0.0000,0.0000,0.0000
3.7167,15.0034,3.4245,256.3582,170.7592,4.6581,0.0000,0.0000,0.0000
3.7333,14.9940,3.4320,0.0000,167.0941,4.6246,0.0000,0.0000,0.0000
3.7500,14.9854,3.4395,9.5472,163.7514,4.5904,0.0000,0.0000,0.0000
3.7667,14.9778,3.4470,27.0028,160.9015,4.5569,0.0000,0.0000,0.0000
3.7833,14.9715,3.4545,47.8828,158.6082,4.5244,0.0000,0.0000,0.0000
3.8000,14.9666,3.4620,71.2696,156.9130,4.4927,0.0000,0.0000,0.0000
3.8167,14.9631,3.4695,96.2355,155.8359,4.4621,0.0000,0.0000,0.0000
3.8333,14.9610,3.4770,121.8730,155.3758,4.4323,0.0000,0.0000,0.0000
3.8500,14.9603,3.4845,147.3224,155.5126,4.4036,0.0000,0.0000,0.0000
3.8667,14.9610,3.4920,171.7957,156.2089,4.3757,0.0000,0.0000,0.0000
3.8833,14.9628,3.4995,194.5963,157.4125,4.3487,0.0000,0.0000,0.0000
3.9000,14.9656,3.5070,215.1344,159.0594,4.3224,0.0000,0.0000,0.0000
3.9167,14.9693,3.5145,232.9376,161.0761,4.2969,0.0000,0.0000,0.0000
3.9333,14.9737,3.5220,247.6570,163.3831,4.2719,0.0000,0.0000,0.0000
3.9500,14.9785,3.5295,259.0694,165.8977,4.2475,0.0000,0.0000,0.0000
3.9667,14.9837,3.5370,267.0743,168.5367,4.2235,0.0000,0.0000,0.0000
3.9833,14.9890,3.5445,271.6880,171.2192,4.1999,0.0000,0.0000,0.0000
4.0000,14.9942,3.5520,273.0341,173.8690,4.1765,0.0000,0.0000,0.0000
4.0167,14.9991,3.5762,271.3315,176.2696,4.1796,0.0000,0.0000,0.0000
4.0333,15.0038,3.6003,266.8693,178.5097,4.1826,0.0000,0.0000,0.0000
4.0500,14.9940,3.6245,0.0000,174.5138,4.1804,0.0000,0.0000,0.0000
4.0667,14.9850,3.6487,9.6084,170.8509,4.1770,0.0000,0.0000,0.0000
4.0833,14.9771,3.6728,27.6665,167.7044,4.1741,0.0000,0.0000,0.0000
4.1000,14.9705,3.6970,49.2904,165.1408,4.1719,0.0000,0.0000,0.0000
4.1167,14.9654,3.7212,73.5239,163.2037,4.1705,0.0000,0.0000,0.0000
4.1333,14.9618,3.7453,99.4004,161.9137,4.1698,0.0000,0.0000,0.0000
4.1500,14.9596,3.7695,125.9746,161.2696,4.1699,0.0000,0.0000,0.0000
4.1667,14.9589,3.7937,152.3512,161.2503,4.1708,0.0000,0.0000,0.0000
4.1833,14.9596,3.8178,177.7096,161.8164,4.1724,0.0000,0.0000,0.0000
4.2000,14.9614,3.8420,201.3247,162.9134,4.1747,0.0000,0.0000,0.0000
